recorded_at,setup,decision,failed_conditions,explanations
15:03:00,Clean long absorption reclaim,ACCEPTED,0,[pass] Price at overnight_low | [pass] Bid liquidity reloaded 2 times | [pass] Reclaim confirmation completed
15:03:00,Rejected lookalike,REJECTED,2,[pass] Price at overnight_low | [fail] Bid liquidity did not reload | [fail] Reclaim confirmation not completed
15:03:01,Rejected lookalike,REJECTED,1,[pass] Price at overnight_low | [fail] Bid liquidity did not reload
15:03:35,Clean long absorption reclaim,ACCEPTED,0,[pass] Price at overnight_low | [pass] Bid liquidity reloaded 2 times | [pass] Reclaim confirmation completed
15:03:35,Rejected lookalike,REJECTED,2,[pass] Price at overnight_low | [fail] Bid liquidity did not reload | [fail] Reclaim confirmation not completed
15:03:35,Rejected lookalike,REJECTED,1,[pass] Price at overnight_low | [fail] Bid liquidity did not reload
15:03:38,Rejected lookalike,rejected,2,[pass] sell pressure | [fail] no bid reload | [fail] no reclaim
15:03:40,waiting for synthetic feed,ACCEPTED,0,LONG SETUP: ACCEPTED | [pass] Price at overnight_low
15:03:40,Clean long absorption reclaim,ACCEPTED,0,[pass] Reclaim confirmation completed
16:10:44,Clean long absorption reclaim,ACCEPTED,0,[pass] Price at overnight_low | [pass] Bid liquidity reloaded 2 times | [pass] Reclaim confirmation completed
16:10:44,Rejected lookalike,REJECTED,2,[pass] Price at overnight_low | [fail] Bid liquidity did not reload | [fail] Reclaim confirmation not completed
16:10:44,Rejected lookalike,REJECTED,1,[pass] Price at overnight_low | [fail] Bid liquidity did not reload
16:10:48,Rejected lookalike,rejected,2,[pass] sell pressure | [fail] no bid reload | [fail] no reclaim
16:10:51,waiting for synthetic feed,ACCEPTED,0,LONG SETUP: ACCEPTED | [pass] Price at overnight_low
16:10:51,Clean long absorption reclaim,ACCEPTED,0,[pass] Reclaim confirmation completed
16:12:00,Clean long absorption reclaim,ACCEPTED,0,[pass] Price at overnight_low | [pass] Bid liquidity reloaded 2 times | [pass] Reclaim confirmation completed
16:12:00,Rejected lookalike,REJECTED,2,[pass] Price at overnight_low | [fail] Bid liquidity did not reload | [fail] Reclaim confirmation not completed
16:12:00,Rejected lookalike,rejected,2,[pass] sell pressure | [fail] no bid reload | [fail] no reclaim
16:12:00,Clean long absorption reclaim,ACCEPTED,0,[pass] Reclaim confirmation completed
16:12:52,Clean long absorption reclaim,ACCEPTED,0,[pass] Price at overnight_low | [pass] Bid liquidity reloaded 2 times | [pass] Reclaim confirmation completed
